,strike,ask,bid,impliedVolatility,type,maturityDate,maturity,optionPrice
76,22.0,0.46,0.33,0.5131884619140624,put,2020-08-21,0.38492063492063494,0.395
77,23.0,0.56,0.41,0.48682153808593753,put,2020-08-21,0.38492063492063494,0.485
78,24.0,0.79,0.56,0.4892629199218751,put,2020-08-21,0.38492063492063494,0.675
79,25.0,0.81,0.71,0.43164630859375,put,2020-08-21,0.38492063492063494,0.76
80,26.0,1.02,0.9,0.414068359375,put,2020-08-21,0.38492063492063494,0.96
81,27.0,1.25,1.07,0.3918517846679687,put,2020-08-21,0.38492063492063494,1.1600000000000001
82,28.0,1.54,1.37,0.37183245361328127,put,2020-08-21,0.38492063492063494,1.455
83,29.0,1.89,1.71,0.3523013989257812,put,2020-08-21,0.38492063492063494,1.7999999999999998
84,30.0,2.33,2.19,0.3364324169921875,put,2020-08-21,0.38492063492063494,2.26
85,31.0,3.3,2.75,0.39624627197265627,put,2020-08-21,0.38492063492063494,3.025
86,32.0,3.55,3.3,0.3242255078124999,put,2020-08-21,0.38492063492063494,3.425
87,33.0,4.3,4.05,0.3249579223632812,put,2020-08-21,0.38492063492063494,4.175
88,34.0,5.15,4.9,0.335944140625,put,2020-08-21,0.38492063492063494,5.025
89,35.0,6.4,5.9,0.4270076831054688,put,2020-08-21,0.38492063492063494,6.15
90,36.0,6.25,5.6,1.0000000000000003e-05,put,2020-08-21,0.38492063492063494,5.925
91,37.0,9.3,7.65,0.5153857055664062,put,2020-08-21,0.38492063492063494,8.475000000000001
92,38.0,9.75,8.35,0.6064492480468751,put,2020-08-21,0.38492063492063494,9.05
93,39.0,10.7,9.25,0.6293982373046876,put,2020-08-21,0.38492063492063494,9.975
94,40.0,11.65,10.25,0.6499058447265625,put,2020-08-21,0.38492063492063494,10.95
95,41.0,11.3,9.85,1.0000000000000003e-05,put,2020-08-21,0.38492063492063494,10.575
96,42.0,17.95,14.3,1.1713908618164064,put,2020-08-21,0.38492063492063494,16.125
97,43.0,18.95,15.4,1.2111855847167967,put,2020-08-21,0.38492063492063494,17.175
98,44.0,16.2,14.25,0.6567417138671876,put,2020-08-21,0.38492063492063494,15.225
99,45.0,0.0,14.85,1.0000000000000003e-05,put,2020-08-21,0.38492063492063494,7.425
